catalog_number,copy_number,gri_has_copy,price_recorded,owner_code,owner_location
D-27,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-298,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-450,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-450,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-367,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-367,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-461,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-539,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-539,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-539,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-576,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-771,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-700,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-700,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-880,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-970,,,*,KHI,"Kunsthistorisches Institut der Universitt zu Kln, Cologne, Germany"
D-970,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-970,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-970,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-1057,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1057,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1017,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1017,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1272,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1403,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1248,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1614,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1744,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1744,,,*,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
D-1744,,Yes,,UBH,"Universittsbibliothek, Heidelberg, Germany"
D-1744,,,*,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-1742,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1742,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1742,,,*,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
D-1742,,,*,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-2074,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-305,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-305,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-414,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-414,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-414,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-951,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
